Project:	anna_barrier_ceramic_04_21_2025

Test:	std d=1.5mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	5.001	0.004992	0.21391	23.336	0.12		0.00018343	49.8	5:13:44 PM	-0.0567
	2	10.002	0.006371	0.25298	25.183	0.12		0.0002341	170	5:13:49 PM	-0.0565
	3	15.003	0.0081184	0.28877	28.114	0.12		0.00029831	305	5:13:54 PM	-0.0558
	4	20.004	0.010345	0.32905	31.44	0.12		0.00038013	460	5:13:59 PM	-0.056
	5	25.005	0.013183	0.38395	34.334	0.12		0.00048439	637	5:14:04 PM	-0.0556
	6	30.006	0.016798	0.44842	37.461	0.12		0.00061724	846	5:14:09 PM	-0.0556
	7	35.007	0.021405	0.52861	40.494	0.12		0.00078653	1.09E+03	5:14:14 PM	-0.0559
	8	40.008	0.027276	0.6272	43.489	0.12		0.0010023	1.38E+03	5:14:19 PM	-0.0555
	9	45.009	0.034758	0.75644	45.949	0.12		0.0012772	1.72E+03	5:14:24 PM	-0.055
	10	50.01	0.044291	0.92602	47.829	0.12		0.0016274	2.14E+03	5:14:29 PM	-0.0551
	11	55.011	0.056439	1.1382	49.585	0.12		0.0020738	2.66E+03	5:14:34 PM	-0.0551
	12	60.012	0.071919	1.3987	51.419	0.12		0.0026426	3.29E+03	5:14:39 PM	-0.0549
	13	65.013	0.091644	1.7401	52.667	0.12		0.0033674	4.08E+03	5:14:44 PM	-0.0544
	14	70.013	0.11678	2.182	53.519	0.12		0.004291	5.06E+03	5:14:49 PM	-0.0546
	15	75.015	0.14881	2.757	53.976	0.12		0.0054679	6.29E+03	5:14:54 PM	-0.0545
	16	80.016	0.18962	3.5085	54.047	0.12		0.0069676	7.85E+03	5:14:59 PM	-0.0545
	17	85.017	0.24163	4.5083	53.598	0.12		0.0088787	9.85E+03	5:15:04 PM	-0.0546
	18	90.018	0.30791	5.7895	53.184	0.12		0.011314	1.24E+04	5:15:09 PM	-0.0546
	19	95.018	0.39236	7.3423	53.438	0.12		0.014417	1.57E+04	5:15:14 PM	-0.0549
	20	100.02	0.49997	9.1856	54.43	0.12		0.018371	1.98E+04	5:15:19 PM	-0.0554

Interval and data points:	2	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	105.02	0.5	9.2995	53.766	0.12		0.018372	2.45E+04	5:15:24 PM	-0.0557
	2	110.02	0.39241	7.4678	52.546	0.12		0.014419	2.87E+04	5:15:29 PM	-0.0563
	3	115.02	0.30795	5.8003	53.092	0.12		0.011315	3.2E+04	5:15:34 PM	-0.0557
	4	120.03	0.24166	4.455	54.246	0.12		0.0088798	3.46E+04	5:15:39 PM	-0.0556
	5	125.03	0.18965	3.43	55.29	0.12		0.0069685	3.65E+04	5:15:44 PM	-0.0548
	6	130.03	0.14883	2.6727	55.684	0.12		0.0054686	3.81E+04	5:15:49 PM	-0.0546
	7	135.03	0.11679	2.1014	55.58	0.12		0.0042915	3.93E+04	5:15:54 PM	-0.0544
	8	140.03	0.091655	1.6592	55.24	0.12		0.0033678	4.02E+04	5:15:59 PM	-0.0542
	9	145.03	0.071927	1.3171	54.611	0.12		0.0026429	4.09E+04	5:16:04 PM	-0.0538
	10	150.03	0.056446	1.043	54.121	0.12		0.0020741	4.15E+04	5:16:09 PM	-0.0539
	11	155.03	0.044296	0.82681	53.575	0.12		0.0016276	4.2E+04	5:16:14 PM	-0.053
	12	160.03	0.034762	0.65909	52.742	0.12		0.0012773	4.24E+04	5:16:19 PM	-0.0531
	13	165.03	0.02728	0.52375	52.086	0.12		0.0010024	4.27E+04	5:16:24 PM	-0.0525
	14	170.04	0.021408	0.41223	51.932	0.12		0.00078663	4.29E+04	5:16:29 PM	-0.0526
	15	175.04	0.0168	0.32834	51.168	0.12		0.00061732	4.31E+04	5:16:34 PM	-0.0524
	16	180.04	0.013184	0.25785	51.131	0.12		0.00048444	4.32E+04	5:16:39 PM	-0.0521
	17	185.04	0.010346	0.20808	49.723	0.12		0.00038017	4.33E+04	5:16:44 PM	-0.0523
	18	190.04	0.0081194	0.16825	48.259	0.12		0.00029834	4.34E+04	5:16:49 PM	-0.0521
	19	195.04	0.0063718	0.13728	46.413	0.12		0.00023413	4.35E+04	5:16:54 PM	-0.0517
	20	200.04	0.0050003	0.10787	46.353	0.12		0.00018373	4.36E+04	5:16:59 PM	-0.0513

Test:	std d=0.07mm sweep

Result:	stress sweep auto 1

Interval and data points:	1	20
Interval data:	Point No.	Time	Shear Stress	Shear Rate	Viscosity	Gap	Complex Viscosity	Torque	Shear Strain	Time of Day	Normal Force
											
		[s]	[Pa]	[1/s]	[mPa·s]	[mm]	[mPa·s]	[mN·m]	[%]	[]	[N]
	1	5.001	0.0049974	0.17982	27.792	0.06996		0.00018363	43.4	5:18:41 PM	-0.0546
	2	10.002	0.006371	0.2142	29.743	0.06996		0.0002341	143	5:18:46 PM	-0.0547
	3	15.003	0.0081184	0.26133	31.066	0.06996		0.00029831	261	5:18:51 PM	-0.0546
	4	20.004	0.010345	0.32047	32.281	0.06996		0.00038013	407	5:18:56 PM	-0.0538
	5	25.005	0.013183	0.39567	33.317	0.06996		0.00048439	586	5:19:01 PM	-0.0535
	6	30.006	0.016798	0.48641	34.535	0.06996		0.00061724	807	5:19:06 PM	-0.054
	7	35.006	0.021405	0.60254	35.525	0.06996		0.00078653	1.08E+03	5:19:11 PM	-0.0531
	8	40.008	0.027276	0.74892	36.421	0.06996		0.0010023	1.42E+03	5:19:16 PM	-0.0527
	9	45.009	0.034758	0.93603	37.133	0.06996		0.0012772	1.84E+03	5:19:21 PM	-0.0525
	10	50.01	0.044291	1.1759	37.667	0.06996		0.0016274	2.36E+03	5:19:26 PM	-0.0525
	11	55.011	0.056439	1.4802	38.13	0.06996		0.0020738	3.03E+03	5:19:31 PM	-0.0526
	12	60.012	0.071919	1.8678	38.505	0.06996		0.0026426	3.86E+03	5:19:36 PM	-0.0523
	13	65.013	0.091644	2.3546	38.921	0.06996		0.0033674	4.92E+03	5:19:41 PM	-0.0521
	14	70.014	0.11678	2.9713	39.303	0.06996		0.004291	6.25E+03	5:19:46 PM	-0.052
	15	75.015	0.14881	3.7734	39.436	0.06996		0.0054679	7.93E+03	5:19:51 PM	-0.0518
	16	80.016	0.18962	4.8167	39.368	0.06996		0.0069676	1.01E+04	5:19:56 PM	-0.052
	17	85.017	0.24163	6.1553	39.257	0.06996		0.0088787	1.28E+04	5:20:01 PM	-0.0516
	18	90.018	0.30791	7.8911	39.02	0.06996		0.011314	1.63E+04	5:20:06 PM	-0.0512
	19	95.019	0.39236	10.094	38.871	0.06996		0.014417	2.08E+04	5:20:11 PM	-0.0508
	20	100.02	0.49997	12.615	39.632	0.06996		0.018371	2.65E+04	5:20:16 PM	-0.0509

Interval and data points:	2	20
